Team,Opponent,Win,WL,Location,Date,Scorecard,WT,BF,Runs,Wickets,HA,Region
West Indies,India,West Indies,1,Pune,"Oct 27, 2018",ODI # 4062,0,1,283,9,0,America
India,West Indies,India,1,Mumbai (BS),"Oct 29, 2018",ODI # 4063,1,1,377,5,1,Asia
West Indies,India,India,0,Mumbai (BS),"Oct 29, 2018",ODI # 4063,0,0,153,10,0,America
India,West Indies,India,1,Thiruvananthapuram,"Nov 1, 2018",ODI # 4064,0,0,150,1,1,Asia
West Indies,India,India,0,Thiruvananthapuram,"Nov 1, 2018",ODI # 4064,1,1,104,10,0,America
Australia,South Africa,South Africa,0,Perth,"Nov 4, 2018",ODI # 4065,1,0,152,10,1,Australasia
South Africa,Australia,South Africa,1,Perth,"Nov 4, 2018",ODI # 4065,0,1,153,4,0,Africa
New Zealand,Pakistan,New Zealand,1,Abu Dhabi,"Nov 7, 2018",ODI # 4066,1,1,266,9,0,Australasia
Pakistan,New Zealand,New Zealand,0,Abu Dhabi,"Nov 7, 2018",ODI # 4066,0,0,219,10,0,Asia
Australia,South Africa,Australia,1,Adelaide,"Nov 9, 2018",ODI # 4067,0,1,231,10,1,Australasia
South Africa,Australia,Australia,0,Adelaide,"Nov 9, 2018",ODI # 4067,1,0,224,9,0,Africa
New Zealand,Pakistan,Pakistan,0,Abu Dhabi,"Nov 9, 2018",ODI # 4068,1,1,209,9,0,Australasia
Pakistan,New Zealand,Pakistan,1,Abu Dhabi,"Nov 9, 2018",ODI # 4068,0,0,212,4,1,Asia
Australia,South Africa,South Africa,0,Hobart,"Nov 11, 2018",ODI # 4069,0,0,280,9,1,Australasia
South Africa,Australia,South Africa,1,Hobart,"Nov 11, 2018",ODI # 4069,1,1,320,5,0,Africa
Bangladesh,West Indies,Bangladesh,1,Dhaka,"Dec 9, 2018",ODI # 4071,0,0,196,5,1,Asia
West Indies,Bangladesh,Bangladesh,0,Dhaka,"Dec 9, 2018",ODI # 4071,1,1,195,9,0,America
Bangladesh,West Indies,West Indies,0,Dhaka,"Dec 11, 2018",ODI # 4072,0,1,255,7,1,Asia
West Indies,Bangladesh,West Indies,1,Dhaka,"Dec 11, 2018",ODI # 4072,1,0,256,6,0,America
Bangladesh,West Indies,Bangladesh,1,Sylhet,"Dec 14, 2018",ODI # 4073,1,0,202,2,1,Asia
West Indies,Bangladesh,Bangladesh,0,Sylhet,"Dec 14, 2018",ODI # 4073,0,1,198,9,0,America
New Zealand,Sri Lanka,New Zealand,1,Mount Maunganui,"Jan 3, 2019",ODI # 4074,1,1,371,7,1,Australasia
Sri Lanka,New Zealand,New Zealand,0,Mount Maunganui,"Jan 3, 2019",ODI # 4074,0,0,326,10,0,Asia
New Zealand,Sri Lanka,New Zealand,1,Mount Maunganui,"Jan 5, 2019",ODI # 4075,1,1,319,7,1,Australasia
Sri Lanka,New Zealand,New Zealand,0,Mount Maunganui,"Jan 5, 2019",ODI # 4075,0,0,298,10,0,Asia
New Zealand,Sri Lanka,New Zealand,1,Nelson,"Jan 8, 2019",ODI # 4076,0,1,364,4,1,Australasia
Sri Lanka,New Zealand,New Zealand,0,Nelson,"Jan 8, 2019",ODI # 4076,1,0,249,10,0,Asia
Australia,India,Australia,1,Sydney,"Jan 12, 2019",ODI # 4077,1,1,288,5,1,Australasia
India,Australia,Australia,0,Sydney,"Jan 12, 2019",ODI # 4077,0,0,254,9,0,Asia
Australia,India,India,0,Adelaide,"Jan 15, 2019",ODI # 4078,1,1,298,9,1,Australasia
India,Australia,India,1,Adelaide,"Jan 15, 2019",ODI # 4078,0,0,299,4,0,Asia
Australia,India,India,0,Melbourne,"Jan 18, 2019",ODI # 4079,0,1,230,10,1,Australasia
India,Australia,India,1,Melbourne,"Jan 18, 2019",ODI # 4079,1,0,234,3,0,Asia
South Africa,Pakistan,Pakistan,0,Port Elizabeth,"Jan 19, 2019",ODI # 4080,1,1,266,2,1,Africa
Pakistan,South Africa,Pakistan,1,Port Elizabeth,"Jan 19, 2019",ODI # 4080,0,0,267,5,0,Asia
South Africa,Pakistan,South Africa,1,Durban,"Jan 22, 2019",ODI # 4081,1,0,207,5,1,Africa
Pakistan,South Africa,South Africa,0,Durban,"Jan 22, 2019",ODI # 4081,0,1,203,10,0,Asia
New Zealand,India,India,0,Napier,"Jan 23, 2019",ODI # 4082,1,1,157,10,1,Australasia
India,New Zealand,India,1,Napier,"Jan 23, 2019",ODI # 4082,0,0,158,2,0,Asia
South Africa,Pakistan,South Africa,1,Centurion,"Jan 25, 2019",ODI # 4084,0,0,187,2,1,Africa
Pakistan,South Africa,South Africa,0,Centurion,"Jan 25, 2019",ODI # 4084,1,1,317,6,0,Asia
New Zealand,India,India,0,Mount Maunganui,"Jan 26, 2019",ODI # 4085,0,0,234,10,1,Australasia
India,New Zealand,India,1,Mount Maunganui,"Jan 26, 2019",ODI # 4085,1,1,324,4,0,Asia
South Africa,Pakistan,Pakistan,0,Johannesburg,"Jan 27, 2019",ODI # 4087,0,1,164,10,1,Africa
Pakistan,South Africa,Pakistan,1,Johannesburg,"Jan 27, 2019",ODI # 4087,1,0,168,2,0,Asia
New Zealand,India,India,0,Mount Maunganui,"Jan 28, 2019",ODI # 4088,1,1,243,10,1,Australasia
India,New Zealand,India,1,Mount Maunganui,"Jan 28, 2019",ODI # 4088,0,0,245,3,0,Asia
South Africa,Pakistan,South Africa,1,Cape Town,"Jan 30, 2019",ODI # 4090,1,0,241,3,1,Africa
Pakistan,South Africa,South Africa,0,Cape Town,"Jan 30, 2019",ODI # 4090,0,1,240,8,0,Asia
New Zealand,India,New Zealand,1,Hamilton,"Jan 31, 2019",ODI # 4091,1,0,93,2,1,Australasia
India,New Zealand,New Zealand,0,Hamilton,"Jan 31, 2019",ODI # 4091,0,1,92,10,0,Asia
New Zealand,India,India,0,Wellington,"Feb 3, 2019",ODI # 4092,0,0,217,10,1,Australasia
India,New Zealand,India,1,Wellington,"Feb 3, 2019",ODI # 4092,1,1,252,10,0,Asia
New Zealand,Bangladesh,New Zealand,1,Napier,"Feb 13, 2019",ODI # 4093,0,0,233,2,1,Australasia
Bangladesh,New Zealand,New Zealand,0,Napier,"Feb 13, 2019",ODI # 4093,1,1,232,10,0,Asia
New Zealand,Bangladesh,New Zealand,1,Christchurch,"Feb 16, 2019",ODI # 4094,1,0,229,2,1,Australasia
Bangladesh,New Zealand,New Zealand,0,Christchurch,"Feb 16, 2019",ODI # 4094,0,1,226,10,0,Asia
New Zealand,Bangladesh,New Zealand,1,Dunedin,"Feb 20, 2019",ODI # 4095,0,0,330,6,1,Australasia
Bangladesh,New Zealand,New Zealand,0,Dunedin,"Feb 20, 2019",ODI # 4095,1,1,242,10,0,Asia
West Indies,England,England,0,Bridgetown,"Feb 20, 2019",ODI # 4096,0,1,360,8,1,America
England,West Indies,England,1,Bridgetown,"Feb 20, 2019",ODI # 4096,1,0,364,4,0,Europe
West Indies,England,West Indies,1,Bridgetown,"Feb 22, 2019",ODI # 4097,0,1,289,6,1,America
England,West Indies,West Indies,0,Bridgetown,"Feb 22, 2019",ODI # 4097,1,0,263,10,0,Europe
West Indies,England,England,0,St George's,"Feb 27, 2019",ODI # 4099,0,1,389,10,1,America
England,West Indies,England,1,St George's,"Feb 27, 2019",ODI # 4099,1,0,418,6,0,Europe
India,Australia,India,1,Hyderabad (Deccan),"Mar 2, 2019",ODI # 4102,0,0,236,7,1,Asia
Australia,India,India,0,Hyderabad (Deccan),"Mar 2, 2019",ODI # 4102,1,1,240,4,0,Australasia
West Indies,England,West Indies,1,Gros Islet,"Mar 2, 2019",ODI # 4103,1,0,115,3,1,America
England,West Indies,West Indies,0,Gros Islet,"Mar 2, 2019",ODI # 4103,0,1,113,10,0,Europe
South Africa,Sri Lanka,South Africa,1,Johannesburg,"Mar 3, 2019",ODI # 4104,1,0,232,2,1,Africa
Sri Lanka,South Africa,South Africa,0,Johannesburg,"Mar 3, 2019",ODI # 4104,0,1,231,10,0,Asia
India,Australia,India,1,Nagpur,"Mar 5, 2019",ODI # 4106,0,1,250,10,0,Asia
Australia,India,India,0,Nagpur,"Mar 5, 2019",ODI # 4106,1,0,242,10,1,Australasia
South Africa,Sri Lanka,South Africa,1,Centurion,"Mar 6, 2019",ODI # 4107,0,1,251,10,1,Africa
Sri Lanka,South Africa,South Africa,0,Centurion,"Mar 6, 2019",ODI # 4107,1,0,138,10,0,Asia
India,Australia,Australia,0,Ranchi,"Mar 8, 2019",ODI # 4109,1,0,281,10,1,Asia
Australia,India,Australia,1,Ranchi,"Mar 8, 2019",ODI # 4109,0,1,313,5,0,Australasia
India,Australia,Australia,0,Mohali,"Mar 10, 2019",ODI # 4111,1,1,358,9,1,Asia
Australia,India,Australia,1,Mohali,"Mar 10, 2019",ODI # 4111,0,0,359,6,0,Australasia
South Africa,Sri Lanka,South Africa,1,Durban,"Mar 10, 2019",ODI # 4112,0,1,331,5,1,Africa
Sri Lanka,South Africa,South Africa,0,Durban,"Mar 10, 2019",ODI # 4112,1,0,330,5,0,Asia
India,Australia,Australia,0,Delhi,"Mar 13, 2019",ODI # 4113,0,0,237,10,1,Asia
Australia,India,Australia,1,Delhi,"Mar 13, 2019",ODI # 4113,1,1,272,9,0,Australasia
South Africa,Sri Lanka,South Africa,1,Port Elizabeth,"Mar 13, 2019",ODI # 4114,1,0,190,4,1,Africa
Sri Lanka,South Africa,South Africa,0,Port Elizabeth,"Mar 13, 2019",ODI # 4114,0,1,189,10,0,Asia
South Africa,Sri Lanka,South Africa,1,Cape Town,"Mar 16, 2019",ODI # 4115,1,0,226,2,0,Africa
Sri Lanka,South Africa,South Africa,0,Cape Town,"Mar 16, 2019",ODI # 4115,0,1,225,10,1,Asia
Australia,Pakistan,Australia,1,Sharjah,"Mar 22, 2019",ODI # 4116,0,0,281,2,0,Australasia
